NTMOD;NTMO;NTMD
102110102120;102110;102120
102110102150;102110;102150
102110102160;102110;102160
102110102210;102110;102210
102110102220;102110;102220
102110102230;102110;102230
102110102340;102110;102340
102110102430;102110;102430
102110102440;102110;102440
102110102630;102110;102630
102110102740;102110;102740
102110102760;102110;102760
102110102770;102110;102770
102110102820;102110;102820
102110103170;102110;103170
102110103190;102110;103190
102110103220;102110;103220
102110147130;102110;147130
102110147160;102110;147160
102110147210;102110;147210
102120102120;102120;102120
102120102130;102120;102130
102120102140;102120;102140
102120102150;102120;102150
102120102160;102120;102160
102120102170;102120;102170
102120102180;102120;102180
102120102210;102120;102210
102120102220;102120;102220
102120102230;102120;102230
102120102320;102120;102320
102120102340;102120;102340
102120102350;102120;102350
102120102410;102120;102410
102120102420;102120;102420
102120102440;102120;102440
102120102450;102120;102450
102120102530;102120;102530
102120102540;102120;102540
102120102550;102120;102550
102120102640;102120;102640
102120102710;102120;102710
102120102720;102120;102720
102120102730;102120;102730
102120102810;102120;102810
102120102820;102120;102820
102120102840;102120;102840
102120102870;102120;102870
102120103130;102120;103130
102120103140;102120;103140
102120103160;102120;103160
102120103170;102120;103170
102120103180;102120;103180
102120103190;102120;103190
102120103210;102120;103210
102120103220;102120;103220
102120103230;102120;103230
102120103240;102120;103240
102120103260;102120;103260
102120147110;102120;147110
102120147120;102120;147120
102120147130;102120;147130
102120147150;102120;147150
102120147160;102120;147160
102120147210;102120;147210
102120147220;102120;147220
102120147230;102120;147230
102130102120;102130;102120
102130102130;102130;102130
102130102140;102130;102140
102130102150;102130;102150
102130102160;102130;102160
102130102180;102130;102180
102130102210;102130;102210
102130102340;102130;102340
102130102350;102130;102350
102130102410;102130;102410
102130102420;102130;102420
102130102430;102130;102430
102130102440;102130;102440
102130102450;102130;102450
102130102520;102130;102520
102130102530;102130;102530
102130102540;102130;102540
102130102560;102130;102560
102130102610;102130;102610
102130102810;102130;102810
102130102820;102130;102820
102130103140;102130;103140
102130103170;102130;103170
102130103180;102130;103180
102130103210;102130;103210
102130103220;102130;103220
102130103230;102130;103230
102130103240;102130;103240
102130103260;102130;103260
102130147110;102130;147110
102130147160;102130;147160
102130147210;102130;147210
102140102110;102140;102110
102140102120;102140;102120
102140102130;102140;102130
102140102140;102140;102140
102140102150;102140;102150
102140102160;102140;102160
102140102170;102140;102170
102140102180;102140;102180
102140102210;102140;102210
102140102220;102140;102220
102140102230;102140;102230
102140102320;102140;102320
102140102330;102140;102330
102140102340;102140;102340
102140102350;102140;102350
102140102410;102140;102410
102140102420;102140;102420
102140102430;102140;102430
102140102440;102140;102440
102140102450;102140;102450
102140102520;102140;102520
102140102540;102140;102540
102140102550;102140;102550
102140102560;102140;102560
102140102620;102140;102620
102140102640;102140;102640
102140102670;102140;102670
102140102710;102140;102710
102140102760;102140;102760
102140102770;102140;102770
102140102810;102140;102810
102140102820;102140;102820
102140102830;102140;102830
102140103130;102140;103130
102140103140;102140;103140
102140103170;102140;103170
102140103190;102140;103190
102140103210;102140;103210
102140103230;102140;103230
102140103240;102140;103240
102140103250;102140;103250
102140147110;102140;147110
102140147120;102140;147120
102140147130;102140;147130
102140147140;102140;147140
102140147160;102140;147160
102140147210;102140;147210
102140147220;102140;147220
102140147230;102140;147230
102140147240;102140;147240
102140147250;102140;147250
102150102120;102150;102120
102150102130;102150;102130
102150102140;102150;102140
102150102150;102150;102150
102150102160;102150;102160
102150102170;102150;102170
102150102180;102150;102180
102150102210;102150;102210
102150102220;102150;102220
102150102230;102150;102230
102150102330;102150;102330
102150102340;102150;102340
102150102350;102150;102350
102150102420;102150;102420
102150102430;102150;102430
102150102440;102150;102440
102150102450;102150;102450
102150102540;102150;102540
102150102710;102150;102710
102150102730;102150;102730
102150102810;102150;102810
102150102820;102150;102820
102150103140;102150;103140
102150103170;102150;103170
102150103220;102150;103220
102150103260;102150;103260
102150147110;102150;147110
102150147130;102150;147130
102150147140;102150;147140
102150147160;102150;147160
102150147210;102150;147210
102160102110;102160;102110
102160102120;102160;102120
102160102140;102160;102140
102160102150;102160;102150
102160102160;102160;102160
102160102180;102160;102180
102160102210;102160;102210
102160102220;102160;102220
102160102230;102160;102230
102160102310;102160;102310
102160102340;102160;102340
102160102410;102160;102410
102160102440;102160;102440
102160102450;102160;102450
102160102520;102160;102520
102160102530;102160;102530
102160102540;102160;102540
102160102610;102160;102610
102160102620;102160;102620
102160102630;102160;102630
102160102710;102160;102710
102160102720;102160;102720
102160102740;102160;102740
102160102810;102160;102810
102160102820;102160;102820
102160103170;102160;103170
102160103180;102160;103180
102160103190;102160;103190
102160103210;102160;103210
102160103220;102160;103220
102160103230;102160;103230
102160147110;102160;147110
102160147120;102160;147120
102160147130;102160;147130
102160147160;102160;147160
102160147230;102160;147230
102170102110;102170;102110
102170102120;102170;102120
102170102130;102170;102130
102170102140;102170;102140
102170102170;102170;102170
102170102180;102170;102180
102170102220;102170;102220
102170102320;102170;102320
102170102340;102170;102340
102170102430;102170;102430
102170102440;102170;102440
102170102450;102170;102450
102170102530;102170;102530
102170102550;102170;102550
102170102560;102170;102560
102170102610;102170;102610
102170102720;102170;102720
102170102730;102170;102730
102170102820;102170;102820
102170102850;102170;102850
102170103140;102170;103140
102170103150;102170;103150
102170103160;102170;103160
102170103170;102170;103170
102170103180;102170;103180
102170103190;102170;103190
102170103220;102170;103220
102170103230;102170;103230
102170103240;102170;103240
102170103260;102170;103260
102170147110;102170;147110
102170147150;102170;147150
102170147210;102170;147210
102180102110;102180;102110
102180102120;102180;102120
102180102130;102180;102130
102180102140;102180;102140
102180102150;102180;102150
102180102160;102180;102160
102180102170;102180;102170
102180102180;102180;102180
102180102210;102180;102210
102180102220;102180;102220
102180102230;102180;102230
102180102320;102180;102320
102180102330;102180;102330
102180102340;102180;102340
102180102350;102180;102350
102180102410;102180;102410
102180102420;102180;102420
102180102430;102180;102430
102180102440;102180;102440
102180102450;102180;102450
102180102510;102180;102510
102180102530;102180;102530
102180102540;102180;102540
102180102560;102180;102560
102180102630;102180;102630
102180102670;102180;102670
102180102710;102180;102710
102180102720;102180;102720
102180102740;102180;102740
102180102760;102180;102760
102180102810;102180;102810
102180102820;102180;102820
102180102840;102180;102840
102180102870;102180;102870
102180103140;102180;103140
102180103170;102180;103170
102180103180;102180;103180
102180103220;102180;103220
102180103230;102180;103230
102180103240;102180;103240
102180103260;102180;103260
102180147110;102180;147110
102180147120;102180;147120
102180147130;102180;147130
102180147140;102180;147140
102180147150;102180;147150
102180147160;102180;147160
102180147210;102180;147210
102180147230;102180;147230
102210102120;102210;102120
102210102130;102210;102130
102210102140;102210;102140
102210102150;102210;102150
102210102160;102210;102160
102210102170;102210;102170
102210102180;102210;102180
102210102210;102210;102210
102210102220;102210;102220
102210102230;102210;102230
102210102310;102210;102310
102210102320;102210;102320
102210102330;102210;102330
102210102340;102210;102340
102210102350;102210;102350
102210102410;102210;102410
102210102420;102210;102420
102210102430;102210;102430
102210102440;102210;102440
102210102450;102210;102450
102210102540;102210;102540
102210102560;102210;102560
102210102630;102210;102630
102210102710;102210;102710
102210102720;102210;102720
102210102810;102210;102810
102210102840;102210;102840
102210103140;102210;103140
102210103190;102210;103190
102210103210;102210;103210
102210103220;102210;103220
102210103260;102210;103260
102210147110;102210;147110
102210147120;102210;147120
102210147150;102210;147150
102210147160;102210;147160
102210147220;102210;147220
102210147230;102210;147230
102220102110;102220;102110
102220102120;102220;102120
102220102130;102220;102130
102220102140;102220;102140
102220102150;102220;102150
102220102160;102220;102160
102220102170;102220;102170
102220102180;102220;102180
102220102210;102220;102210
102220102220;102220;102220
102220102230;102220;102230
102220102320;102220;102320
102220102340;102220;102340
102220102350;102220;102350
102220102410;102220;102410
102220102420;102220;102420
102220102440;102220;102440
102220102450;102220;102450
102220102530;102220;102530
102220102540;102220;102540
102220102560;102220;102560
102220102610;102220;102610
102220102620;102220;102620
102220102630;102220;102630
102220102640;102220;102640
102220102720;102220;102720
102220102770;102220;102770
102220102810;102220;102810
102220102820;102220;102820
102220102870;102220;102870
102220103140;102220;103140
102220103160;102220;103160
102220103170;102220;103170
102220103190;102220;103190
102220103210;102220;103210
102220103220;102220;103220
102220103230;102220;103230
102220103240;102220;103240
102220103250;102220;103250
102220103260;102220;103260
102220103280;102220;103280
102220147110;102220;147110
102220147120;102220;147120
102220147130;102220;147130
102220147160;102220;147160
102220147210;102220;147210
102220147220;102220;147220
102220147230;102220;147230
102230102130;102230;102130
102230102140;102230;102140
102230102150;102230;102150
102230102160;102230;102160
102230102180;102230;102180
102230102210;102230;102210
102230102220;102230;102220
102230102230;102230;102230
102230102320;102230;102320
102230102340;102230;102340
102230102350;102230;102350
102230102410;102230;102410
102230102420;102230;102420
102230102430;102230;102430
102230102440;102230;102440
102230102450;102230;102450
102230102540;102230;102540
102230102630;102230;102630
102230102730;102230;102730
102230102810;102230;102810
102230102820;102230;102820
102230103130;102230;103130
102230103150;102230;103150
102230103170;102230;103170
102230103190;102230;103190
102230103260;102230;103260
102230147110;102230;147110
102230147130;102230;147130
102230147160;102230;147160
102300102350;102300;102350
102300147120;102300;147120
102310102160;102310;102160
102310102210;102310;102210
102310102310;102310;102310
102310102320;102310;102320
102310102340;102310;102340
102310102410;102310;102410
102310102430;102310;102430
102310102440;102310;102440
102310102450;102310;102450
102310102510;102310;102510
102310102620;102310;102620
102310103210;102310;103210
102310147110;102310;147110
102310147160;102310;147160
102320102120;102320;102120
102320102140;102320;102140
102320102180;102320;102180
102320102210;102320;102210
102320102220;102320;102220
102320102230;102320;102230
102320102320;102320;102320
102320102330;102320;102330
102320102340;102320;102340
102320102350;102320;102350
102320102410;102320;102410
102320102420;102320;102420
102320102430;102320;102430
102320102440;102320;102440
102320102450;102320;102450
102320102510;102320;102510
102320102520;102320;102520
102320102530;102320;102530
102320102540;102320;102540
102320102550;102320;102550
102320102810;102320;102810
102320102820;102320;102820
102320102840;102320;102840
102320103130;102320;103130
102320103150;102320;103150
102320103170;102320;103170
102320103180;102320;103180
102320103280;102320;103280
102320147100;102320;147100
102320147120;102320;147120
102320147160;102320;147160
102320147220;102320;147220
102320147250;102320;147250
102330102120;102330;102120
102330102130;102330;102130
102330102140;102330;102140
102330102150;102330;102150
102330102210;102330;102210
102330102220;102330;102220
102330102330;102330;102330
102330102340;102330;102340
102330102350;102330;102350
102330102420;102330;102420
102330102450;102330;102450
102330102530;102330;102530
102330102630;102330;102630
102330102720;102330;102720
102330102810;102330;102810
102330102820;102330;102820
102330103210;102330;103210
102330103230;102330;103230
102330103240;102330;103240
102330103290;102330;103290
102330147110;102330;147110
102330147130;102330;147130
102330147150;102330;147150
102330147160;102330;147160
102330147230;102330;147230
102340102110;102340;102110
102340102120;102340;102120
102340102130;102340;102130
102340102140;102340;102140
102340102150;102340;102150
102340102160;102340;102160
102340102170;102340;102170
102340102180;102340;102180
102340102200;102340;102200
102340102210;102340;102210
102340102220;102340;102220
102340102230;102340;102230
102340102310;102340;102310
102340102320;102340;102320
102340102330;102340;102330
102340102340;102340;102340
102340102350;102340;102350
102340102400;102340;102400
102340102410;102340;102410
102340102420;102340;102420
102340102430;102340;102430
102340102440;102340;102440
102340102450;102340;102450
102340102510;102340;102510
102340102530;102340;102530
102340102540;102340;102540
102340102550;102340;102550
102340102560;102340;102560
102340102630;102340;102630
102340102660;102340;102660
102340102710;102340;102710
102340102740;102340;102740
102340102760;102340;102760
102340102810;102340;102810
102340102820;102340;102820
102340102830;102340;102830
102340103110;102340;103110
102340103140;102340;103140
102340103160;102340;103160
102340103170;102340;103170
102340103180;102340;103180
102340103220;102340;103220
102340103240;102340;103240
102340103250;102340;103250
102340103270;102340;103270
102340103290;102340;103290
102340147110;102340;147110
102340147120;102340;147120
102340147160;102340;147160
102340147210;102340;147210
102340147220;102340;147220
102340147230;102340;147230
102340147250;102340;147250
102350102120;102350;102120
102350102140;102350;102140
102350102150;102350;102150
102350102160;102350;102160
102350102170;102350;102170
102350102180;102350;102180
102350102210;102350;102210
102350102220;102350;102220
102350102230;102350;102230
102350102300;102350;102300
102350102320;102350;102320
102350102330;102350;102330
102350102340;102350;102340
102350102350;102350;102350
102350102410;102350;102410
102350102420;102350;102420
102350102430;102350;102430
102350102440;102350;102440
102350102450;102350;102450
102350102510;102350;102510
102350102530;102350;102530
102350102540;102350;102540
102350102610;102350;102610
102350102630;102350;102630
102350102670;102350;102670
102350102710;102350;102710
102350102810;102350;102810
102350102820;102350;102820
102350103140;102350;103140
102350103150;102350;103150
102350103180;102350;103180
102350103190;102350;103190
102350103220;102350;103220
102350147110;102350;147110
102350147120;102350;147120
102350147130;102350;147130
102350147150;102350;147150
102350147160;102350;147160
102350147220;102350;147220
102400102340;102400;102340
102410102120;102410;102120
102410102130;102410;102130
102410102140;102410;102140
102410102150;102410;102150
102410102160;102410;102160
102410102180;102410;102180
102410102210;102410;102210
102410102220;102410;102220
102410102230;102410;102230
102410102310;102410;102310
102410102320;102410;102320
102410102330;102410;102330
102410102340;102410;102340
102410102350;102410;102350
102410102410;102410;102410
102410102420;102410;102420
102410102430;102410;102430
102410102440;102410;102440
102410102450;102410;102450
102410102510;102410;102510
102410102530;102410;102530
102410102540;102410;102540
102410102630;102410;102630
102410102650;102410;102650
102410102710;102410;102710
102410102720;102410;102720
102410103170;102410;103170
102410147110;102410;147110
102410147120;102410;147120
102410147160;102410;147160
102410147220;102410;147220
102420102120;102420;102120
102420102130;102420;102130
102420102140;102420;102140
102420102160;102420;102160
102420102180;102420;102180
102420102210;102420;102210
102420102220;102420;102220
102420102320;102420;102320
102420102330;102420;102330
102420102340;102420;102340
102420102350;102420;102350
102420102410;102420;102410
102420102420;102420;102420
102420102430;102420;102430
102420102440;102420;102440
102420102450;102420;102450
102420102520;102420;102520
102420102530;102420;102530
102420102540;102420;102540
102420102550;102420;102550
102420102560;102420;102560
102420102610;102420;102610
102420102620;102420;102620
102420102630;102420;102630
102420102640;102420;102640
102420102670;102420;102670
102420102710;102420;102710
102420102720;102420;102720
102420102740;102420;102740
102420102770;102420;102770
102420102820;102420;102820
102420102840;102420;102840
102420102870;102420;102870
102420103130;102420;103130
102420103140;102420;103140
102420103160;102420;103160
102420103170;102420;103170
102420103180;102420;103180
102420103190;102420;103190
102420103220;102420;103220
102420103230;102420;103230
102420103240;102420;103240
102420103250;102420;103250
102420103290;102420;103290
102420147110;102420;147110
102420147120;102420;147120
102420147130;102420;147130
102420147140;102420;147140
102420147150;102420;147150
102420147160;102420;147160
102420147210;102420;147210
102420147220;102420;147220
102420147230;102420;147230
102420147250;102420;147250
102430102110;102430;102110
102430102120;102430;102120
102430102130;102430;102130
102430102140;102430;102140
102430102150;102430;102150
102430102170;102430;102170
102430102180;102430;102180
102430102210;102430;102210
102430102220;102430;102220
102430102310;102430;102310
102430102320;102430;102320
102430102340;102430;102340
102430102350;102430;102350
102430102410;102430;102410
102430102420;102430;102420
102430102430;102430;102430
102430102440;102430;102440
102430102450;102430;102450
102430102510;102430;102510
102430102520;102430;102520
102430102530;102430;102530
102430102540;102430;102540
102430102550;102430;102550
102430102560;102430;102560
102430102610;102430;102610
102430102620;102430;102620
102430102630;102430;102630
102430102710;102430;102710
102430102720;102430;102720
102430102810;102430;102810
102430102820;102430;102820
102430102840;102430;102840
102430103130;102430;103130
102430103140;102430;103140
102430103160;102430;103160
102430103170;102430;103170
102430147110;102430;147110
102430147130;102430;147130
102430147150;102430;147150
102430147160;102430;147160
102430147230;102430;147230
102440102110;102440;102110
102440102120;102440;102120
102440102130;102440;102130
102440102140;102440;102140
102440102150;102440;102150
102440102160;102440;102160
102440102170;102440;102170
102440102180;102440;102180
102440102210;102440;102210
102440102220;102440;102220
102440102230;102440;102230
102440102310;102440;102310
